ParkName,ParkID,ZipCode,FacilityName,FacilityID,SiteType
Fort Ross SHP,1126,94550,Reef Campground,1969,Tent Campsite
Grover Hot Springs SP,651,96120,Hot Springs Campground (sites 1-36),494,Tent Campsite
Grover Hot Springs SP,651,96120,Hot Springs Campground (sites 37-76),495,Tent 
Indian Grinding Rock SHP,659,95665,Indian Grinding Rock Campground,516,Group Primitive Campsite
Indian Grinding Rock SHP,659,95665,Indian Grinding Rock Campground,516,Hook Up (E/W/S) Campsite
Bidwell-Sacramento River SP,1093,95973,Irvine Finch Access,965,Hike/Bike Campsite
Bidwell-Sacramento River SP,1093,95973,Irvine Finch Access,965,Hook Up (E/W/S) Campsite
Bidwell-Sacramento River SP,1093,95973,Irvine Finch Access,965,Tent Campsite
Lake Oroville SRA,662,95966,Bloomer North Fork Trail Camp,520,Hike In Primitive Campsite
Lake Oroville SRA,662,95966,Floating Camping Area,522,Floating Camp Campsite
Lake Oroville SRA,662,95966,Group Boat-In Area,525,Boat In Campsite
Lake Oroville SRA,662,95966,Lime Saddle Campground,526,Campsite
Lake Oroville SRA,662,95966,Lime Saddle Campground,526,Hook Up (E/W) Campsite
Lake Oroville SRA,662,95966,Lime Saddle Group Camps,527,Group Tent Campsite
Lake Oroville SRA,662,95966,Loafer Creek Group Camps,528,Group Tent Campsite
Lake Oroville SRA,662,95966,Bidwell Canyon (sites 40-75),544,Hook Up (E/W/S) Campsite
Lake Oroville SRA,662,95966,Loafer Creek Camp (sites 1-43),547,Campsite
Lake Oroville SRA,662,95966,Loafer Creek Horse Campground,575,Equestrian Campsite
Lake Oroville SRA,662,95966,Bidwell Canyon (sites 1-39),797,Hook Up (E/W/S) Campsite
Lake Oroville SRA,662,95966,Loafer Creek Camp (sites 44-81),798,Campsite
Lake Oroville SRA,662,95966,Loafer Creek Camp (sites 82-137),799,Campsite
Lake Oroville SRA,662,95966,Bloomer Knoll boat-in campground,1995,Boat In Campsite
Lake Oroville SRA,662,95966,Bloomer Point boat-in campground,1996,Boat In Campsite
Lake Oroville SRA,662,95966,Craig Saddle boat-in campground,1997,Boat In Campsite
Lake Oroville SRA,662,95966,Foreman Creek boat-in campground,1998,Boat In Campsite
Lake Oroville SRA,662,95966,Goat Ranch boat-in campground,1999,Boat In Campsite
Calaveras Big Trees SP,5,95223,Group Camping,342,Group Camping
Calaveras Big Trees SP,5,95223,Group Camping,342,Group Campsite
Calaveras Big Trees SP,5,95223,Group Camping,342,Group Tent Campsite
Calaveras Big Trees SP,5,95223,North Grove Environmental,343,Tent Hike In Primitive Campsite
Calaveras Big Trees SP,5,95223,North Grove (sites 1-26),344,Campsite
Calaveras Big Trees SP,5,95223,North Grove (sites 1-26),344,Group Campsite
Calaveras Big Trees SP,5,95223,North Grove (sites 1-26),344,Hook Up (E/W/S) Campsite
Calaveras Big Trees SP,5,95223,North Grove (sites 1-26),344,Tent Campsite
Calaveras Big Trees SP,5,95223,North Grove (sites 27-59),346,Campsite
Calaveras Big Trees SP,5,95223,North Grove (sites 27-59),346,Group Tent Campsite
Calaveras Big Trees SP,5,95223,North Grove (sites 27-59),346,Tent Campsite
Calaveras Big Trees SP,5,95223,North Grove (sites 60-74),348,Campsite
Calaveras Big Trees SP,5,95223,North Grove (sites 60-74),348,Tent Campsite
Calaveras Big Trees SP,5,95223,Oak Hollow Campground,349,Campsite
Calaveras Big Trees SP,5,95223,Oak Hollow Campground,349,Hike In Primitive Campsite
Calaveras Big Trees SP,5,95223,Oak Hollow Campground,349,Hook Up (E/W/S) Campsite
Calaveras Big Trees SP,5,95223,Oak Hollow Campground,349,Tent Campsite
Calaveras Big Trees SP,5,95223,Oak Hollow Environmental North,354,Tent Hike In Primitive Campsite
Calaveras Big Trees SP,5,95223,Oak Hollow Environmental South,355,Tent Hike In Primitive Campsite
Calaveras Big Trees SP,5,95223,Residence Cabin Area,356,Cabin (6 People)
Calaveras Big Trees SP,5,95223,Residence Cabin Area,356,Cabin (8 People)
Calaveras Big Trees SP,5,95223,Residence Cabin Area,356,Hook Up (E/W/S) Campsite
Colusa-Sacramento River SRA,632,95932,River Campground (sites 2-14),446,Campsite
Colusa-Sacramento River SRA,632,95932,River Campground (sites 2-14),446,Group Camping
Colusa-Sacramento River SRA,632,95932,River Campground (sites 2-14),446,Hook Up (E ) Campsite
Colusa-Sacramento River SRA,632,95932,River Campground (sites 2-14),446,Hook Up (E/W/S) Campsite
Colusa-Sacramento River SRA,632,95932,River Campground (sites 2-14),446,Premium Hook Up (E ) Campsite
